0 00h00m00s +89d21m41.7087s 1.438 1.975 1 1 380
1 04h48m00s +89d21m41.7087s 1.438 1.975 1 2 1625
2 09h36m00s +89d21m41.7087s 1.438 1.975 1 1 566
3 14h24m00s +89d21m41.7087s 1.438 1.975 1 2 2243
4 19h12m00s +89d21m41.7087s 1.438 1.975 1 1 901
5 02h24m00s +89d17m38.5125s 1.438 1.934 1 2 1576
6 07h12m00s +89d17m38.5125s 1.438 1.934 1 1 383
7 12h00m00s +89d17m38.5125s 1.438 1.934 1 2 1838
8 16h48m00s +89d17m38.5125s 1.438 1.934 1 1 1034
9 21h36m00s +89d17m38.5125s 1.438 1.934 1 2 1574
10 04h48m00s +88d00m56.6762s 1.438 2.021 1 1 380
11 06h38m46.1538s +88d00m56.6762s 1.438 2.021 1 2 1687
12 08h29m32.3077s +88d00m56.6762s 1.438 2.021 1 1 455
13 10h20m18.4615s +88d00m56.6762s 1.438 2.021 1 2 1838
14 12h11m04.6154s +88d00m56.6762s 1.438 2.021 1 1 734
15 14h01m50.7692s +88d00m56.6762s 1.438 2.021 1 2 2271
16 15h52m36.9231s +88d00m56.6762s 1.438 2.021 1 1 852
17 17h43m23.0769s +88d00m56.6762s 1.438 2.021 1 2 1574
18 19h34m09.2308s +88d00m56.6762s 1.438 2.021 1 1 380
19 21h24m55.3846s +88d00m56.6762s 1.438 2.021 1 2 1720
20 23h15m41.5385s +88d00m56.6762s 1.438 2.021 1 1 379
21 01h06m27.6923s +88d00m56.6762s 1.438 2.021 1 2 1720
22 02h57m13.8462s +88d00m56.6762s 1.438 2.021 1 1 379
23 05h43m23.0769s +88d00m06.2851s 1.438 1.895 1 2 1630
24 07h34m09.2308s +88d00m06.2851s 1.438 1.895 1 1 455
25 09h24m55.3846s +88d00m06.2851s 1.438 1.895 1 2 1766
26 11h15m41.5385s +88d00m06.2851s 1.438 1.895 1 1 652
27 13h06m27.6923s +88d00m06.2851s 1.438 1.895 1 2 2293
28 14h57m13.8462s +88d00m06.2851s 1.438 1.895 1 1 822
29 16h48m00s +88d00m06.2851s 1.438 1.895 1 2 1574
30 18h38m46.1538s +88d00m06.2851s 1.438 1.895 1 1 901
31 20h29m32.3077s +88d00m06.2851s 1.438 1.895 1 2 2206
32 22h20m18.4615s +88d00m06.2851s 1.438 1.895 1 1 380
33 00h11m04.6154s +88d00m06.2851s 1.438 1.895 1 2 1720
34 02h01m50.7692s +88d00m06.2851s 1.438 1.895 1 1 379
35 03h52m36.9231s +88d00m06.2851s 1.438 1.895 1 2 1575
36 06h38m46.1538s +86d43m43.094s 1.438 1.86 1 1 566
37 07h47m20.4396s +86d43m43.094s 1.438 1.86 1 2 1807
38 08h55m54.7253s +86d43m43.094s 1.438 1.86 1 1 652
39 10h04m29.011s +86d43m43.094s 1.438 1.86 1 2 2290
40 11h13m03.2967s +86d43m43.094s 1.438 1.86 1 1 734
41 12h21m37.5824s +86d43m43.094s 1.438 1.86 1 2 2301
42 13h30m11.8681s +86d43m43.094s 1.438 1.86 1 1 884
43 14h38m46.1538s +86d43m43.094s 1.438 1.86 1 2 2348
44 15h47m20.4396s +86d43m43.094s 1.438 1.86 1 1 945
45 16h55m54.7253s +86d43m43.094s 1.438 1.86 1 2 2242
46 18h04m29.011s +86d43m43.094s 1.438 1.86 1 1 1050
47 19h13m03.2967s +86d43m43.094s 1.438 1.86 1 2 2206
48 20h21m37.5824s +86d43m43.094s 1.438 1.86 1 1 1260
49 21h30m11.8681s +86d43m43.094s 1.438 1.86 1 2 2206
50 22h38m46.1538s +86d43m43.094s 1.438 1.86 1 1 378
51 23h47m20.4396s +86d43m43.094s 1.438 1.86 1 2 2209
52 00h55m54.7253s +86d43m43.094s 1.438 1.86 1 1 379
53 02h04m29.011s +86d43m43.094s 1.438 1.86 1 2 1613
54 03h13m03.2967s +86d43m43.094s 1.438 1.86 1 1 383
55 04h21m37.5824s +86d43m43.094s 1.438 1.86 1 2 1630
56 05h30m11.8681s +86d43m43.094s 1.438 1.86 1 1 455
57 07h13m03.2967s +86d37m58.8919s 1.438 2.071 1 2 1790
58 08h18m30.5694s +86d37m58.8919s 1.438 2.071 1 1 652
59 09h23m57.8422s +86d37m58.8919s 1.438 2.071 1 2 2290
60 10h29m25.1149s +86d37m58.8919s 1.438 2.071 1 1 734
61 11h34m52.3876s +86d37m58.8919s 1.438 2.071 1 2 2301
62 12h40m19.6603s +86d37m58.8919s 1.438 2.071 1 1 823
63 13h45m46.9331s +86d37m58.8919s 1.438 2.071 1 2 2339
64 14h51m14.2058s +86d37m58.8919s 1.438 2.071 1 1 901
65 15h56m41.4785s +86d37m58.8919s 1.438 2.071 1 2 2323
66 17h02m08.7512s +86d37m58.8919s 1.438 2.071 1 1 1269
